count	bucket	operation.kind	result.outcome	message	example_ids	example_run_dirs
16	other	legacy.exec	success		abs,compare-versions,contains,countdown,error-messages	/Users/achyland/Desktop/fencerunner/scratch/inheritance/abs,/Users/achyland/Desktop/fencerunner/scratch/inheritance/compare-versions,/Users/achyland/Desktop/fencerunner/scratch/inheritance/contains
4	bash>=4 evidence	legacy.exec	error	bash>=4	array-contains,array-to-string,center-text,variable-replace	/Users/achyland/Desktop/fencerunner/scratch/inheritance/array-contains,/Users/achyland/Desktop/fencerunner/scratch/inheritance/array-to-string,/Users/achyland/Desktop/fencerunner/scratch/inheritance/center-text
1	missing dependency	legacy.exec	error	terraform	get-terraform-version	/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-terraform-version
1	other	legacy.exec	error		check-prerequisites	/Users/achyland/Desktop/fencerunner/scratch/inheritance/check-prerequisites
1	quarantined	legacy.quarantined	partial	quarantined: legacy not executed (contains sudo; run manually only)	sudo-librarian-puppet	/Users/achyland/Desktop/fencerunner/scratch/inheritance/sudo-librarian-puppet
1	quarantined	legacy.quarantined	partial	quarantined: legacy not executed (destructive git tag ops + possible network)	untag	/Users/achyland/Desktop/fencerunner/scratch/inheritance/untag
1	quarantined	legacy.quarantined	partial	quarantined: legacy not executed (interactive; fencerunner stdin is /dev/null)	get-confirmation	/Users/achyland/Desktop/fencerunner/scratch/inheritance/get-confirmation
